Main File Name,Sub Query / File Name,Data Purpose,Customer,Data / File Path,Sheet / Table Name,Refresh Frequency,Manual v Auto,Redundant (Y/N/Maybe),In Fabric (Y/N/Maybe),Notes,MCode Audit,MCode Notes
In Transit,Append1,Append of other queries within file,,Queries within file,,,,,,,Done,None needed; just an append
In Transit,Andrews,In Transit Data,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\TX\Andrews\Andrews Open Order and In Transit File.xlsx,SYS21,Daily,PowerQuery,,Yes,"This is a query against SQL data, we can just pull from SQL",Done,
In Transit,BBG,In Transit Data,BBG Customers,"L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Breakthru Beverage (AZ,MD,DC,FL,SC,IL)\BBG Open Order and In Transit File.xlsx",SYS21,Daily,PowerQuery,,,,Done,
In Transit,ENCOMORDER,In Transit Data,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Encompass Files\Encompass Open Order and In Transit Report.xlsx,ENCOMORDER [Table],Daily,,,,,Done,
In Transit_ENCOMORDER_Nest,ENCOMORDER,,,SQL Server: y2tjz7qjmziezabg56725hmy54-sll2odfgmm6ene2p55ripmzeaq.datawarehouse.fabric.microsoft.com,None,,,,,,Done,
In Transit_ENCOMORDER_Nest,Keg PO Report 2,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Encompass Files\Encompass PO Report.xlsx,Purchase Status by Distributor,,,,,,Done,
In Transit_ENCOMORDER_Nest,Encompass PO Report,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Encompass Files\Encompass PO Report.xlsx,Purchase Status by Distributor,,,,,,Done,
In Transit,OKORDERS,In Transit Data,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\OK\LDF OK Replenishment 2023\LDF Open PO and In Transit File.xlsx,OKORDERS,Daily,,Maybe,,,Done,
In Transit_OKORDERS_Nest,OKORDERS,,,SQL Server: y2tjz7qjmziezabg56725hmy54-sll2odfgmm6ene2p55ripmzeaq.datawarehouse.fabric.microsoft.com,None,,,,,,Done,
In Transit,SGWS_Orders,In Transit Data,SGWS Customers,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\SGWS\SGWS Open PO and In Transit File.xlsx,OKORDERS [Table],Daily,,Maybe,,,Done,
